;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées
1;793 937 125 003;75020;Pan coupé 125 AVENUE GAMBETTA / 120 RUE ORFILA;A;TERRASSE OUVERTE;2.67;4.26;SARL LA POINTE AUX PIMENTS  (RESTAURANT);48.868115, 2.40109
2;793 939 002 002;75020;202 RUE DES PYRENEES;B;TERRASSE FERMEE;1.3;12.05;SNC INDIANA GAMBETTA  (RESTAURANT);48.864386, 2.39905
3;793 939 007 003;75020;7 PLACE GAMBETTA;A;TERRASSE OUVERTE;0.6;8.2;SA MC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.864778, 2.397904
7;796 062 004 003;75020;4 PLACE MARTIN NADAUD;A;TERRASSE FERMEE;1.3;7.8;SARL MATI NADAUD  (BAR RESTAURANT);48.865145, 2.394757
8;796 183 028 003;75020;28 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;0.6;8.3;SARL OBODODO  (BAR RESTAURANT);48.859491, 2.389397
10;796 183 044 003;75020;44 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;0.9;4.6;SARL MENIL 44  (RESTAURANT);48.863292, 2.387206
11;796 183 054 007;75020;54 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;1.0;4.2;SARL FEROSUSHI  (RESTAURATION RAPIDE - SNACK);48.863489, 2.387218
15;796 183 108 002;75020;108 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;1.5;5.9;M HADJEM  (RESTAURANT);48.865448, 2.384979
17;796 187 108 002;75020;;A;;1.3;4.6;MME COSTA  (RESTAURANT);
18;796 850 037 004;75020;37 RUE ORFILA;A;TERRASSE OUVERTE;1.1;3.8;SARL MANOU  (RESTAURANT);48.86657, 2.396777
21;797 212 004 002;75020;4 AVENUE DU PERE LACHAISE;A;TERRASSE OUVERTE;1.18;5.7;SARL LE RAMUS  (RESTAURANT);48.863589, 2.397506
38;799 309 033 003;75020;Pan coupé 33 RUE TLEMCEN / 65 RUE DES AMANDIERS;B;TERRASSE OUVERTE;0.6;0.9;SAS LES AMANDIERS CAPPUCINO RESTAURANT  (BAR - CAFE - PUB);48.864056, 2.389127
52;800 587 097 002;75020;67 RUE DES PYRENEES;B;TERRASSE FERMEE;1.25;13.1;SARL MUGET  (BAR RESTAURANT);48.852775, 2.406042
53;800 587 105 002;75020;;A;;1.0;7.5;SARL SMAIL SARL  (RESTAURANT);
54;800 587 116 004;75020;116 RUE D AVRON;A;TERRASSE OUVERTE;0.6;3.5;SARL BENJAMIN BINGOL  (RESTAURANT);48.852822, 2.407364
57;800 587 144 005;75020;144 RUE D AVRON;A;TERRASSE OUVERTE;1.2;5.2;SARL ELIF  (RESTAURATION RAPIDE - SNACK);48.853248, 2.409742
58;800 587 145 002;75020;145 RUE D AVRON;A;TERRASSE FERMEE;1.2;5.7;SARL GAZI  (RESTAURATION RAPIDE - SNACK);48.853487, 2.410054
60;800 612 022 005;75020;22 RUE DE BAGNOLET;A;TERRASSE OUVERTE;1.1;6.0;EURL WANOBI  (RESTAURATION RAPIDE - SNACK);48.856712, 2.396607
62;800 612 178 004;75020;227 BOULEVARD DAVOUT;B;TERRASSE OUVERTE;1.5;3.5;SARL L ESCALE DE L AUBERGE  (RESTAURATION RAPIDE - SNACK);48.864009, 2.408519
64;801 890 052 003;75020;52 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;2.0;6.5;SARL CAFE DU GARAGE  (BAR RESTAURANT);48.851958, 2.398279
65;801 890 052 004;75020;52 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;1.9;5.52;SARL FLH CHARONNE SARL  (RESTAURANT);48.851958, 2.398279
66;801 890 086 005;75020;86 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;3.0;3.4;SARL DOHAN  (RESTAURATION RAPIDE - SNACK);48.853259, 2.397264
67;801 890 114 005;75020;114 BOULEVARD DE CHARONNE;A;TERRASSE FERMEE;3.16;7.6;M HAMICI  (BAR RESTAURANT);48.854453, 2.39613
70;801 890 142 003;75020;142 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;6.0;7.65;SARL CASA BOTTICELLI  (RESTAURANT);48.856193, 2.395062
76;802 608 067 002;75020;65 BOULEVARD DAVOUT;A;TERRASSE FERMEE;1.3;3.59;SA MAC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.853143, 2.410418
82;802 608 209 002;75020;209 BOULEVARD DAVOUT;A;TERRASSE FERMEE;2.0;6.0;SARL LE TRAMWAY  (RESTAURANT);48.862915, 2.408655
83;804 248 094 002;75020;94 RUE DES GRANDS CHAMPS;A;TERRASSE OUVERTE;0.3;6.5;SARL THIER  (RESTAURANT);48.851521, 2.406676
84;807 465 006 002;75020;6 RUE PLANCHAT;A;TERRASSE OUVERTE;0.6;20.0;SARL B4E  (RESTAURANT);48.852183, 2.399291
89;807 652 008 002;75020;2 PLACE DE LA PORTE DE MONTREUIL;B;TERRASSE FERMEE;3.2;18.2;SARL MAKI FUJI  (RESTAURANT);48.853697, 2.414417
94;807 897 023 003;75020;23 RUE DES PYRENEES;A;TERRASSE FERMEE;1.7;4.5;SARL PARIBUS  (BAR RESTAURANT);48.849145, 2.406363
95;807 897 044 003;75020;56 RUE DES GRANDS CHAMPS;B;TERRASSE FERMEE;0.8;11.0;SARL LE ROYAL PYRENEES  (RESTAURANT);48.851026, 2.403253
101;198 871 267 002;75005;267 RUE SAINT JACQUES;A;COMMERCE ACCESSOIRE;0.9;2.0;M KEMEL  (BAR RESTAURANT);48.841667, 2.341349
102;198 929 065 004;75005;65 BOULEVARD SAINT MICHEL;A;TERRASSE FERMEE;2.7;10.3;SA MC DONALD S SYSTEM OF FRANCE  (RESTAURATION RAPIDE - SNACK);48.847074, 2.340926
103;198 929 071 005;75005;71 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;2.1;4.6;SARL PHILIPS DAMON  (RESTAURANT);48.846314, 2.340512
104;198 929 083 005;75005;83 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;1.7;4.1;SARL SARL RIAZ  (RESTAURATION RAPIDE - SNACK);48.845503, 2.340063
105;198 929 101 002;75005;101 BOUVERAD SAINT MICHEL;A;TERRASSE OUVERTE;1.0;2.0;SARL MKD FOODING  (RESTAURANT);48.844296, 2.339248
111;198 929 147 003;75005;147 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;2.2;4.6;SARL LAZA  (RESTAURATION RAPIDE - SNACK);48.840949, 2.337565
112;199 366 032 002;75005;2-4 PLACE LUCIEN HERR;B;CONTRE TERRASSE;0.6;7.4;SARL LENA & MIMILE  (BAR RESTAURANT);48.841996, 2.348021
113;199 366 032 002;75005;2-4 PLACE LUCIEN HERR;B;CONTRE TERRASSE;0.6;3.8;SARL LENA & MIMILE  (BAR RESTAURANT);48.841996, 2.348021
114;199 366 032 002;75005;2-4 PLACE LUCIEN HERR;B;TERRASSE OUVERTE;1.0;12.5;SARL LENA & MIMILE  (BAR RESTAURANT);48.841996, 2.348021
115;201 233 010 003;75005;10 RUE BOUTEBRIE;A;TERRASSE OUVERTE;0.6;5.0;SAS TIM FAI  (RESTAURANT);48.851436, 2.344568
120;201 544 032 004;75005;32 RUE DES CARMES;A;TERRASSE OUVERTE;1.9;3.7;SARL MSL IL GOLOSONE (RESTAURATION RAPIDE - SNACK);48.848274, 2.34701
121;201 544 032 005;75005;32 RUE DES CARMES;A;TERRASSE OUVERTE;2.75;8.0;SARL ZIG ZAG  (RESTAURANT);48.848274, 2.34701
122;202 483 009 002;75005;6 RUE TOULLIER;B;TERRASSE OUVERTE;0.9;6.3;SARL ANDREANI RESTAURANT  (RESTAURANT);48.847272, 2.34294
123;203 085 007 002;75005;7 RUE DU SOMMERARD;A;TERRASSE OUVERTE;0.6;5.0;SARL SUMO  (RESTAURANT);48.849791, 2.34704
125;203 129 027 003;75005;27 RUE DES ECOLES;A;TERRASSE FERMEE;1.35;4.06;MME ESPOSITO  (RESTAURANT);48.848585, 2.348211
129;203 860 012 002;75005;12 RUE FREDERIC SAUTON;A;TERRASSE OUVERTE;1.2;4.5;SARL PHONETHIP  (RESTAURANT);48.850784, 2.3489
131;205 189 010 002;75005;1 RUE DU FOUARRE;B;TERRASSE OUVERTE;1.0;8.6;SARL ZENYAMA  (RESTAURANT);48.851641, 2.347358
139;206 374 047 002;75005;47 RUE DE LA MONTAGNE SAINTE GENEVIEVE;A;TERRASSE OUVERTE;1.3;1.4;MME LE DINH  (RESTAURANT);48.847009, 2.348108
140;206 981 024 002;75005;24 RUE DE LA PARCHEMINERIE;A;TERRASSE OUVERTE;2.2;5.55;SARL VAKILI SARL HEUREUX COMME ALEXANDRE (RESTAURANT);48.851822, 2.344668
144;207 297 006 002;75005;6 RUE DU PETIT PONT;A;TERRASSE OUVERTE;1.08;6.6;SARL AARAPANA  (RESTAURANT);48.852408, 2.34628
145;207 297 013 002;75005;13 RUE DU PETIT PONT;A;TERRASSE OUVERTE;0.6;5.5;SARL LES VOULTES DE LUTECE  (RESTAURANT);48.852393, 2.346561
147;208 657 012 002;75005;Pan coupé 12 RUE SOUFFLOT / 162 RUE SAINT JACQUES;A;TERRASSE OUVERTE;1.0;1.0;SAS F C L C  (RESTAURATION RAPIDE - SNACK);48.846885, 2.34333
153;208 845 072 002;75005;72 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.2;7.3;M AKBARALY  (RESTAURANT);48.850612, 2.346995
154;208 845 072 002;75005;72 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;0.7;7.3;M AKBARALY  (RESTAURANT);48.850612, 2.346995
158;208 845 088 005;75005;88 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;2.6;6.2;SARL MERE ET FILLE  (BAR RESTAURANT);48.851097, 2.345006
159;208 845 092 002;75005;Pan coupé 92 BOULEVARD SAINT GERMAIN /  5 RUE BOUTEBRIE;A;TERRASSE OUVERTE;1.5;3.5;SARL SAINT GERMAIN RESTAURATION  (RESTAURANT);48.849261, 2.355203
160;208 845 092 002;75005;5 RUE BOUTEBRIE;B;TERRASSE OUVERTE;0.6;5.4;SARL SAINT GERMAIN RESTAURATION  (RESTAURANT);48.851478, 2.344642
165;208 845 098 002;75005;98 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.47;12.75;SA MAC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.851389, 2.343806
166;208 871 033 003;75005;Pan coupé 33 RUE SAINT JACQUES / 10 RUE DANTE;A;COMMERCE ACCESSOIRE;1.2;2.5;SA BAR A HUITRES ST GERMAIN  (RESTAURANT);48.851131, 2.345867
167;208 871 033 003;75005;10 RUE DANTE;B;TERRASSE FERMEE;0.98;8.1;SA BAR A HUITRES ST GERMAIN  (RESTAURANT);48.851006, 2.345923
172;208 929 063 002;75005;26 RUE SOUFFLOT;B;TERRASSE FERMEE;3.05;11.78;SA FRANCE QUICK  (RESTAURANT);48.847351, 2.340973
177;208 934 001 002;75005;Pan coupé 1 QUAI SAINT MICHEL / 2 PLACE DU PETIT PONT;A;TERRASSE OUVERTE;1.0;1.65;M DEBEURE  (RESTAURANT);48.853055, 2.346536
180;208 934 019 004;75005;19 QUAI SAINT MICHEL;A;TERRASSE OUVERTE;0.75;6.4;MME SCHINIOTAKIS  (RESTAURANT);48.853348, 2.345452
189;212 543 001 002;75006;1 RUE DANTON;A;TERRASSE FERMEE;0.8;2.05;SARL GRAINE SALEM ET FRERE  (RESTAURANT);48.852835, 2.342773
191;214 245 047 006;75006;47 QUAI DES GRANDS AUGUSTINS;A;ETALAGE;0.5;5.0;M FURLAND  (RESTAURANT);48.85499, 2.341764
192;214 440 001 005;75006;25 RUE FRANCISQUE GAY;B;TERRASSE OUVERTE;1.2;2.5;SARL YALLI PETIT HONG KONG (RESTAURATION RAPIDE - SNACK);48.85284, 2.343392
194;216 149 003 002;75006;3 RUE ANDRE MAZET;A;TERRASSE OUVERTE;0.7;5.5;SARL I-GREC  (RESTAURANT);48.8541, 2.33908
198;218 761 028 002;75006;16 RUE GIT LE COEUR;B;TERRASSE OUVERTE;0.6;8.0;SARL CORCORAN S IRISH PUB  (RESTAURANT);48.8538, 2.342731
200;600 626 067 002;75015;2 RUE DE LA MONTAGNE D AULAS;A;TERRASSE OUVERTE;0.8;15.5;SARL LUPAU BISTROT DU PARC (RESTAURANT);48.840308, 2.278826
202;600 626 090 003;75015;Pan coupé 90 RUE BALARD / 229 RUE SAINT CHARLES;A;CONTRE TERRASSE;3.2;3.4;SARL SJ15 L'AUTHENTIK (RESTAURANT);
203;600 626 090 003;75015;Pan coupé 90 RUE BALARD / 229 RUE SAINT CHARLES;A;TERRASSE FERMEE;1.2;9.25;SARL SJ15 L'AUTHENTIK (RESTAURANT);
207;601 604 022 004;75015;22 RUE CAUCHY;A;TERRASSE OUVERTE;0.6;3.5;EURL MADE IN EMILIE MADE IN EMILIE (RESTAURATION RAPIDE - SNACK);48.842743, 2.276519
209;602 301 025 002;75015;25 RUE DE LA CONVENTION;A;TERRASSE OUVERTE;1.4;11.0;SARL OCL CARPE DIEM (BAR RESTAURANT);48.844944, 2.279714
210;602 301 025 002;75015;16 RUE DU CAPITAINE MENARD;B;TERRASSE OUVERTE;0.6;7.5;SARL OCL CARPE DIEM (BAR RESTAURANT);48.845276, 2.280346
211;602 301 077 002;75015;77 RUE DE LA CONVENTION;A;TERRASSE FERMEE;1.4;9.2;SARL YAMAGOYA  (RESTAURANT);48.842536, 2.285015
215;603 061 019 002;75015;Pan coupé 19 RUE DURANTON / 14 RUE PLELO;A;ETALAGE;0.25;0.4;SARL MARTINEZ EMILE MARTINEZ (RESTAURANT);48.840076, 2.286352
217;603 293 049 002;75015;14 RUE DES QUATRE FRERES PEIGNOT;B;TERRASSE OUVERTE;1.0;5.0;SARL PERSEPOLIS  (RESTAURANT);48.846783, 2.283316
218;603 423 001 003;75015;1 PLACE ETIENNE PERNET;A;CONTRE TERRASSE;1.3;3.0;SA SOCIETE DES RESTAURANTS PINTO CHARLIE BIRDY (RESTAURANT);48.843447, 2.293123
220;603 423 024 003;75015;24 PLACE ETIENNE PERNET;A;TERRASSE OUVERTE;2.3;4.4;M JEAN  (BAR RESTAURANT);48.842851, 2.291835
223;603 572 081 002;75015;Pan coupé 81 AVENUE FELIX FAURE / 2 RUE JEAN MADRIDOR;A;TERRASSE OUVERTE;1.0;5.0;SARL LINE PIZZERIA ROMANELLA  (RESTAURANT);48.842695, 2.291511
229;603 574 001 003;75015;1 RUE FELIX FAURE;A;TERRASSE OUVERTE;0.95;5.2;M SIMAO  (BAR RESTAURANT);48.839493, 2.284457
230;605 391 294 002;75015;294 RUE LECOURBE;A;TERRASSE OUVERTE;0.6;7.9;M HUYEN LE NOUVEAU DISQUE BLEU (RESTAURANT);48.838078, 2.2872
231;605 391 326 002;75015;1 VILLA THORETON;B;TERRASSE OUVERTE;0.6;18.2;SARL CHEZ ROBERTO  (RESTAURANT);48.83761, 2.284605
234;607 684 001 004;75015;;A;;0.6;11.75;SARL COQ NOIR  (RESTAURANT);
237;608 794 111 004;75015;111 RUE SAINT CHARLES;A;TERRASSE FERMEE;0.64;4.7;SNC LIMOUSIN SAINT CHARLES LE BISTROT DU LIMOUSIN (RESTAURANT);48.845118, 2.284325
245;608 794 232 002;75015;232 RUE SAINT CHARLES;A;TERRASSE OUVERTE;1.3;9.3;SARL LE BISTROT D ANDRE C  (RESTAURANT);48.837242, 2.27726
246;610 567 014 002;75016;14 RUE D'AUTEUIL;A;ETALAGE;1.0;3.75;SARL PANINI & CO  (RESTAURATION RAPIDE - SNACK);48.847581, 2.267699
249;610 567 083 002;75016;Pan coupé 135 BOULEVARD EXELMANS / 83 RUE D'AUTEUIL;C;TERRASSE FERMEE;3.15;5.81;SNC SNC LE MURAT  (RESTAURANT);48.847619, 2.259122
255;612 104 003 002;75016;2 RUE GROS;C;TERRASSE FERMEE;2.3;27.5;SA TURQUOISE ZEBRA SQUARE (RESTAURANT);48.851326, 2.276231
256;612 583 002 002;75016;2 RUE DAUMIER;A;TERRASSE OUVERTE;0.6;10.0;SARL GOLDEN GATE  (RESTAURANT);48.839276, 2.264644
259;613 488 001 002;75016;1 BOULEVARD EXELMANS;A;COMMERCE ACCESSOIRE;1.4;1.7;SARL HIBISCUS  (RESTAURANT);48.839652, 2.266903
260;613 488 001 002;75016;1 BOULEVARD EXELMANS;A;CONTRE TERRASSE;1.8;5.0;SARL HIBISCUS  (RESTAURANT);48.839652, 2.266903
261;613 488 020 004;75016;20 BOULEVARD EXELMANS;A;TERRASSE FERMEE;2.2;6.1;SARL KYOTO  (RESTAURANT);48.840819, 2.265821
268;613 488 131 002;75016;131 BOULEVARD EXELMANS;A;TERRASSE OUVERTE;2.5;14.0;SA ESPINASSE LES DEUX STATIONS SAS (RESTAURANT);48.847323, 2.258917
270;614 663 005 004;75016;5 RUE ISABEY;A;TERRASSE OUVERTE;0.6;7.2;SARL MARGELLINA  (RESTAURANT);48.848456, 2.263477
276;615 707 182 002;75016;189 BOULEVARD MURAT;B;TERRASSE OUVERTE;1.7;10.3;SARL ANDROARRY  (RESTAURANT);48.838977, 2.26588
278;616 247 080 003;75016;80 RUE MICHEL ANGE;A;TERRASSE FERMEE;1.6;10.25;SARL MING DINASTY  (RESTAURANT);48.841767, 2.258901
280;616 247 120 002;75016;11 BOULEVARD MURAT;B;TERRASSE FERMEE;1.6;21.0;SA CAFE RESTAURANT AUX 3 OBUS  (BAR RESTAURANT);48.846838, 2.258556
285;616 566 081 002;75016;81 AVENUE MOZART;A;ETALAGE;1.0;7.4;SARL OTODOKE OTODOKE JUJIYA SURFING NANAYA (RESTAURATION RAPIDE - SNACK);48.852821, 2.268513
289;616 566 109 003;75016;Pan coupé 109 AVENUE MOZART / 72 RUE DE LA SOURCE;A;PLANCHER MOBILE;4.0;3.9;SARL MOZART 109  (RESTAURANT);48.851099, 2.267572
294;617 680 005 002;75016;5 PLACE DE LA PORTE DE SAINT CLOUD;A;TERRASSE FERMEE;2.5;9.54;SARL LE CARDINAL  (RESTAURANT);48.837268, 2.25715
297;619 231 003 003;75016;3 AVENUE THEOPHILE GAUTIER;A;TERRASSE FERMEE;1.13;6.7;EURL LANUME  (RESTAURANT);48.851012, 2.27518
298;619 231 031 003;75016;31 AVENUE THEOPHILE GAUTIER;A;TERRASSE OUVERTE;2.0;1.0;SARL BISTROT 31  (RESTAURANT);48.849951, 2.272553
301;79 299 062 002;75002;62 RUE TIQUETONNE;A;TERRASSE OUVERTE;1.4;2.4;SAS L AVIATEUR  (BAR RESTAURANT);48.864831, 2.345883
304;81 103 031 003;75002;31 BOULEVARD DE BONNE NOUVELLE;A;TERRASSE FERMEE;3.0;8.5;SARL BONNE NOUVELLE RESTAURATION  (RESTAURANT);48.870322, 2.348858
307;83 418 008 003;75002;8 RUE ETIENNE MARCEL;A;TERRASSE OUVERTE;1.4;7.4;SA OREM  (BAR RESTAURANT);48.863687, 2.350203
308;83 418 010 003;75002;10 RUE ETIENNE MARCEL;A;TERRASSE FERMEE;1.29;7.5;SARL NEW SHANGHAI  (RESTAURANT);48.863782, 2.34959
312;87 300 014 005;75002;14 RUE DES PETITS CARREAUX;A;TERRASSE OUVERTE;1.2;3.1;SARL  DIONYSOS  (RESTAURANT);48.866889, 2.347347
314;88 073 061 006;75002;61 RUE REAUMUR;A;TERRASSE FERMEE;1.15;14.0;SARL CAFE LAZAR  (RESTAURANT);48.866518, 2.350991
315;88 073 061 006;75002;61 RUE REAUMUR;A;TERRASSE OUVERTE;2.5;12.6;SARL CAFE LAZAR  (RESTAURANT);48.866518, 2.350991
316;88 073 081 004;75002;81 RUE DE REAUMUR;A;TERRASSE FERMEE;1.2;9.65;SAS LOY S CAFE  (RESTAURANT);48.866906, 2.348439
322;88 806 013 002;75002;13 BOULEVARD SAINT DENIS;A;ETALAGE;2.1;2.6;SARL HAUT DE FOUCAU  (RESTAURATION RAPIDE - SNACK);48.869269, 2.353703
325;88 809 116 005;75002;23 RUE DE TURBIGO;B;TERRASSE OUVERTE;0.9;10.3;SA THE PARIS REAL ALE BREWERY  (BAR RESTAURANT);48.864132, 2.350139
326;88 809 189 002;75002;189 RUE SAINT DENIS;A;TERRASSE OUVERTE;0.7;3.6;M OUANSA  (RESTAURANT);48.866126, 2.350753
333;96 775 024 004;75003;24 RUE NOTRE DAME DE NAZARETH;A;TERRASSE OUVERTE;1.0;2.6;SARL LA BONNE CECILE  (RESTAURANT);48.867264, 2.360012
334;97 560 003 002;75003;3 PASSAGE DU PONT AUX BICHES;A;TERRASSE OUVERTE;2.0;7.45;SARL O MARCHES  (RESTAURATION RAPIDE - SNACK);48.867503, 2.358504
340;98 914 019 003;75003;19 BOULEVARD SAINT MARTIN;A;TERRASSE FERMEE;2.8;6.9;SARL LE PORTE BONHEUR  (RESTAURANT);48.868168, 2.359826
344;98 916 245 002;75003;245 RUE SAINT MARTIN;A;TERRASSE OUVERTE;0.95;6.27;SARL ELEONORE JUST FOR LUNCH (RESTAURATION RAPIDE - SNACK);48.865864, 2.353292
354;99 490 076 004;75003;76 RUE DE TURBIGO;A;TERRASSE OUVERTE;0.7;5.2;SARL SUSHI YAKI  (RESTAURANT);48.866443, 2.360864
358;99 731 038 003;75003;38 RUE DU VERTBOIS;A;TERRASSE OUVERTE;0.8;3.59;SARL PSMB  (RESTAURANT);48.867104, 2.357811
359;101 283 012 002;75003;12 RUE DE BRETAGNE;A;TERRASSE OUVERTE;1.0;3.8;SARL REMO  (RESTAURANT);48.86264, 2.363261
365;101 283 051 002;75003;Pan coupé 51 RUE DE BRETAGNE / 96 RUE DES ARCHIVES;A;TERRASSE OUVERTE;1.0;0.75;SAS LA PIERRE DU MARAIS  (BAR RESTAURANT);48.861014, 2.357771
367;103 026 002 003;75003;1 RUE DE LA CORDERIE;B;CONTRE TERRASSE;5.0;5.7;SARL PARIS MARAIS RESTO  (RESTAURANT);48.864724, 2.363237
368;103 026 004 003;75003;Pan coupé 4 RUE DUPETIT THOUARS / 2 RUE CHARLES FRANCOIS DUPUIS;A;TERRASSE OUVERTE;1.6;1.1;SARL LE POISSON CURIEUX  (BAR RESTAURANT);
374;109 157 013 002;75003;13 BOULEVARD DU TEMPLE;A;TERRASSE OUVERTE;2.9;15.74;SARL MURANO  (RESTAURANT);48.863964, 2.365944
377;109 157 025 005;75003;25 BOULEVARD DU TEMPLE;A;TERRASSE OUVERTE;2.3;3.7;SARL QUATRE SAISONS  (RESTAURANT);48.864906, 2.36538
379;109 157 033 002;75003;33 BOULEVARD DU TEMPLE;A;TERRASSE OUVERTE;0.38;9.28;SARL UDEFAM  (RESTAURANT);48.865639, 2.364938
380;109 157 039 002;75003;39 BOULEVARD DU TEMPLE;A;COMMERCE ACCESSOIRE;0.6;4.0;SAS CHEZ JENNY  (BAR RESTAURANT);48.866028, 2.364701
381;109 157 039 002;75003;39 BOULEVARD DU TEMPLE;A;CONTRE TERRASSE;2.0;16.0;SAS CHEZ JENNY  (BAR RESTAURANT);48.866028, 2.364701
394;119 778 105 002;75003;105 RUE VIEILLE DU TEMPLE;A;TERRASSE OUVERTE;0.66;3.6;SARL TAKE A PIZ  (RESTAURANT);48.860453, 2.361532
397;124 282 013 002;75003;13 RUE DU GRENIER SAINT-LAZARE;A;TERRASSE OUVERTE;1.8;4.6;SARL EURO-SNACK  (RESTAURANT);48.862874, 2.353004
399;126 897 001 003;75003;1 RUE AUX OURS;A;TERRASSE FERMEE;3.0;7.0;SARL DJUDJURA  (BAR RESTAURANT);48.862956, 2.352174
400;10 924 004 002;75001;4 RUE BERTIN POIREE;A;TERRASSE OUVERTE;1.4;8.0;M PIGNOL  (RESTAURANT);48.858242, 2.344683
401;10 924 011 002;75001;11 RUE BERTIN POIREE;A;TERRASSE OUVERTE;0.8;6.0;SARL GALINA SUSHI  (RESTAURATION RAPIDE - SNACK);48.858843, 2.344771
402;12 591 015 002;75001;15 PLACE DAUPHINE;A;TERRASSE OUVERTE;1.2;4.9;SARL ORFINE  (RESTAURANT);48.855538, 2.340117
403;12 591 017 003;75001;17 PLACE DAUPHINE;A;TERRASSE OUVERTE;1.2;5.0;SARL LE CAVEAU DU PALAIS  (RESTAURANT);48.855427, 2.340038
406;15 338 006 002;75001;10 RUE JEAN LANTIER;B;TERRASSE OUVERTE;0.65;8.0;SA A LA TETE D OR  (RESTAURANT);48.858639, 2.346166
409;15 765 018 002;75001;18 QUAI DU LOUVRE;A;COMMERCE ACCESSOIRE;2.2;2.2;SA LE RELAIS DU PONT NEUF  (RESTAURANT);48.858885, 2.341205
410;15 765 018 002;75001;18 QUAI DU LOUVRE;A;TERRASSE OUVERTE;2.2;6.5;SA LE RELAIS DU PONT NEUF  (RESTAURANT);48.858885, 2.341205
411;15 765 024 002;75001;24 QUAI DU LOUVRE;A;TERRASSE OUVERTE;2.0;4.0;SARL REDUCTOU  (RESTAURANT);48.858955, 2.340804
419;18 809 008 003;75001;8 RUE SAINT DENIS;A;TERRASSE OUVERTE;3.05;8.0;SNC LAI FRERES  (BAR RESTAURANT);48.858419, 2.347552
424;20 883 016 004;75001;16 RUE BERGER;A;COMMERCE ACCESSOIRE;0.93;1.6;SAS POMME DE PAIN  (RESTAURATION RAPIDE - SNACK);48.860996, 2.348085
426;20 883 029 003;75001;29 RUE BERGER;A;TERRASSE OUVERTE;1.0;21.1;SA C/O GROUPE FLO SCE COMPTABILITE FOURNISSEURS (RESTAURANT);48.861607, 2.344626
427;20 883 029 003;75001;35 PLACE MAURICE QUENTIN;A;TERRASSE OUVERTE;2.43;3.5;SA C/O GROUPE FLO SCE COMPTABILITE FOURNISSEURS (RESTAURANT);48.860445, 2.347906
428;20 883 049 003;75001;49 RUE BERGER;A;TERRASSE OUVERTE;1.25;10.8;SARL BUSH BOY INDUSTRIES (BBI)  (RESTAURANT);48.862191, 2.34211
431;21 201 038 002;75001;21 RUE DES HALLES;B;TERRASSE OUVERTE;0.7;3.6;SARL CFP  (BAR RESTAURANT);48.860637, 2.345813
432;22 317 006 002;75001;2 RUE COQUILLIERE;A;TERRASSE OUVERTE;2.78;7.55;SA AU PIED DE COCHON  (RESTAURANT);48.864138, 2.341824
433;22 317 029 002;75001;Pan coupé 29 RUE COQUILLIERE / 27 RUE DU BOULOI;A;TERRASSE OUVERTE;1.1;3.5;SARL LE GUTENBERG  (RESTAURANT);48.864135, 2.341596
435;22 353 007 005;75001;7 RUE DE LA COSSONNERIE;A;TERRASSE OUVERTE;1.6;10.0;SARL SARL MC  (RESTAURATION RAPIDE - SNACK);48.861374, 2.348636
436;23 418 035 003;75001;35 RUE ETIENNE MARCEL;A;TERRASSE FERMEE;1.25;6.15;SARL JAPORAMA  (RESTAURANT);48.864391, 2.346372
437;23 634 003 002;75001;3 RUE DE LA FERRONNERIE;A;TERRASSE OUVERTE;3.0;5.3;SARL DHK  (BAR RESTAURANT);48.860149, 2.34805
438;23 634 006 002;75001;11 RUE DES INNOCENTS;B;TERRASSE OUVERTE;2.5;3.3;SAS AU COEUR COURONNE  (RESTAURANT);48.860469, 2.347275
439;23 634 006 002;75001;11 RUE DES INNOCENTS;B;TERRASSE OUVERTE;2.5;7.6;SAS AU COEUR COURONNE  (RESTAURANT);48.860469, 2.347275
440;24 238 010 003;75001;10 RUE DE LA GRANDE TRUANDERIE;A;TERRASSE OUVERTE;1.7;4.0;SARL FASKL  (RESTAURANT);48.862803, 2.349197
441;24 238 024 002;75001;24 RUE DE LA GRANDE TRUANDERIE;A;CONTRE TERRASSE;3.2;6.1;SARL LE PHARAMOND  (RESTAURANT);48.862968, 2.348514
