;Unnamed: 0;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées;surface;libelle;nom
0;1;793 937 125 003;75020;Pan coupé 125 AVENUE GAMBETTA / 120 RUE ORFILA;A;TERRASSE OUVERTE;2.67;4.26;SARL LA POINTE AUX PIMENTS  (RESTAURANT);48.868115, 2.40109;11.3742;RESTAURANT;SARL LA POINTE AUX PIMENTS  
1;2;793 939 002 002;75020;202 RUE DES PYRENEES;B;TERRASSE FERMEE;1.3;12.05;SNC INDIANA GAMBETTA  (RESTAURANT);48.864386, 2.39905;15.665;RESTAURANT;SNC INDIANA GAMBETTA  
2;3;793 939 007 003;75020;7 PLACE GAMBETTA;A;TERRASSE OUVERTE;0.6;8.2;SA MC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.864778, 2.397904;4.92;RESTAURATION RAPIDE - SNACK;SA MC DONALD S FRANCE  
3;7;796 062 004 003;75020;4 PLACE MARTIN NADAUD;A;TERRASSE FERMEE;1.3;7.8;SARL MATI NADAUD  (BAR RESTAURANT);48.865145, 2.394757;10.14;BAR RESTAURANT;SARL MATI NADAUD  
4;8;796 183 028 003;75020;28 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;0.6;8.3;SARL OBODODO  (BAR RESTAURANT);48.859491, 2.389397;4.98;BAR RESTAURANT;SARL OBODODO  
5;10;796 183 044 003;75020;44 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;0.9;4.6;SARL MENIL 44  (RESTAURANT);48.863292, 2.387206;4.14;RESTAURANT;SARL MENIL 44  
6;11;796 183 054 007;75020;54 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;1.0;4.2;SARL FEROSUSHI  (RESTAURATION RAPIDE - SNACK);48.863489, 2.387218;4.2;RESTAURATION RAPIDE - SNACK;SARL FEROSUSHI  
7;15;796 183 108 002;75020;108 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;1.5;5.9;M HADJEM  (RESTAURANT);48.865448, 2.384979;8.85;RESTAURANT;M HADJEM  
8;17;796 187 108 002;75020;;A;;1.3;4.6;MME COSTA  (RESTAURANT);;5.98;RESTAURANT;MME COSTA  
9;18;796 850 037 004;75020;37 RUE ORFILA;A;TERRASSE OUVERTE;1.1;3.8;SARL MANOU  (RESTAURANT);48.86657, 2.396777;4.18;RESTAURANT;SARL MANOU  
10;21;797 212 004 002;75020;4 AVENUE DU PERE LACHAISE;A;TERRASSE OUVERTE;1.18;5.7;SARL LE RAMUS  (RESTAURANT);48.863589, 2.397506;6.726;RESTAURANT;SARL LE RAMUS  
11;38;799 309 033 003;75020;Pan coupé 33 RUE TLEMCEN / 65 RUE DES AMANDIERS;B;TERRASSE OUVERTE;0.6;0.9;SAS LES AMANDIERS CAPPUCINO RESTAURANT  (BAR - CAFE - PUB);48.864056, 2.389127;0.54;BAR - CAFE - PUB;SAS LES AMANDIERS CAPPUCINO RESTAURANT  
12;52;800 587 097 002;75020;67 RUE DES PYRENEES;B;TERRASSE FERMEE;1.25;13.1;SARL MUGET  (BAR RESTAURANT);48.852775, 2.406042;16.375;BAR RESTAURANT;SARL MUGET  
13;53;800 587 105 002;75020;;A;;1.0;7.5;SARL SMAIL SARL  (RESTAURANT);;7.5;RESTAURANT;SARL SMAIL SARL  
14;54;800 587 116 004;75020;116 RUE D AVRON;A;TERRASSE OUVERTE;0.6;3.5;SARL BENJAMIN BINGOL  (RESTAURANT);48.852822, 2.407364;2.1;RESTAURANT;SARL BENJAMIN BINGOL  
15;57;800 587 144 005;75020;144 RUE D AVRON;A;TERRASSE OUVERTE;1.2;5.2;SARL ELIF  (RESTAURATION RAPIDE - SNACK);48.853248, 2.409742;6.24;RESTAURATION RAPIDE - SNACK;SARL ELIF  
16;58;800 587 145 002;75020;145 RUE D AVRON;A;TERRASSE FERMEE;1.2;5.7;SARL GAZI  (RESTAURATION RAPIDE - SNACK);48.853487, 2.410054;6.84;RESTAURATION RAPIDE - SNACK;SARL GAZI  
17;60;800 612 022 005;75020;22 RUE DE BAGNOLET;A;TERRASSE OUVERTE;1.1;6.0;EURL WANOBI  (RESTAURATION RAPIDE - SNACK);48.856712, 2.396607;6.6;RESTAURATION RAPIDE - SNACK;EURL WANOBI  
18;62;800 612 178 004;75020;227 BOULEVARD DAVOUT;B;TERRASSE OUVERTE;1.5;3.5;SARL L ESCALE DE L AUBERGE  (RESTAURATION RAPIDE - SNACK);48.864009, 2.408519;5.25;RESTAURATION RAPIDE - SNACK;SARL L ESCALE DE L AUBERGE  
19;64;801 890 052 003;75020;52 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;2.0;6.5;SARL CAFE DU GARAGE  (BAR RESTAURANT);48.851958, 2.398279;13.0;BAR RESTAURANT;SARL CAFE DU GARAGE  
20;65;801 890 052 004;75020;52 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;1.9;5.52;SARL FLH CHARONNE SARL  (RESTAURANT);48.851958, 2.398279;10.488;RESTAURANT;SARL FLH CHARONNE SARL  
21;66;801 890 086 005;75020;86 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;3.0;3.4;SARL DOHAN  (RESTAURATION RAPIDE - SNACK);48.853259, 2.397264;10.2;RESTAURATION RAPIDE - SNACK;SARL DOHAN  
22;67;801 890 114 005;75020;114 BOULEVARD DE CHARONNE;A;TERRASSE FERMEE;3.16;7.6;M HAMICI  (BAR RESTAURANT);48.854453, 2.39613;24.016;BAR RESTAURANT;M HAMICI  
23;70;801 890 142 003;75020;142 BOULEVARD DE CHARONNE;A;TERRASSE OUVERTE;6.0;7.65;SARL CASA BOTTICELLI  (RESTAURANT);48.856193, 2.395062;45.9;RESTAURANT;SARL CASA BOTTICELLI  
24;76;802 608 067 002;75020;65 BOULEVARD DAVOUT;A;TERRASSE FERMEE;1.3;3.59;SA MAC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.853143, 2.410418;4.667;RESTAURATION RAPIDE - SNACK;SA MAC DONALD S FRANCE  
25;82;802 608 209 002;75020;209 BOULEVARD DAVOUT;A;TERRASSE FERMEE;2.0;6.0;SARL LE TRAMWAY  (RESTAURANT);48.862915, 2.408655;12.0;RESTAURANT;SARL LE TRAMWAY  
26;83;804 248 094 002;75020;94 RUE DES GRANDS CHAMPS;A;TERRASSE OUVERTE;0.3;6.5;SARL THIER  (RESTAURANT);48.851521, 2.406676;1.95;RESTAURANT;SARL THIER  
27;84;807 465 006 002;75020;6 RUE PLANCHAT;A;TERRASSE OUVERTE;0.6;20.0;SARL B4E  (RESTAURANT);48.852183, 2.399291;12.0;RESTAURANT;SARL B4E  
28;89;807 652 008 002;75020;2 PLACE DE LA PORTE DE MONTREUIL;B;TERRASSE FERMEE;3.2;18.2;SARL MAKI FUJI  (RESTAURANT);48.853697, 2.414417;58.24;RESTAURANT;SARL MAKI FUJI  
29;94;807 897 023 003;75020;23 RUE DES PYRENEES;A;TERRASSE FERMEE;1.7;4.5;SARL PARIBUS  (BAR RESTAURANT);48.849145, 2.406363;7.65;BAR RESTAURANT;SARL PARIBUS  
30;95;807 897 044 003;75020;56 RUE DES GRANDS CHAMPS;B;TERRASSE FERMEE;0.8;11.0;SARL LE ROYAL PYRENEES  (RESTAURANT);48.851026, 2.403253;8.8;RESTAURANT;SARL LE ROYAL PYRENEES  
31;101;198 871 267 002;75005;267 RUE SAINT JACQUES;A;COMMERCE ACCESSOIRE;0.9;2.0;M KEMEL  (BAR RESTAURANT);48.841667, 2.341349;1.8;BAR RESTAURANT;M KEMEL  
32;102;198 929 065 004;75005;65 BOULEVARD SAINT MICHEL;A;TERRASSE FERMEE;2.7;10.3;SA MC DONALD S SYSTEM OF FRANCE  (RESTAURATION RAPIDE - SNACK);48.847074, 2.340926;27.81;RESTAURATION RAPIDE - SNACK;SA MC DONALD S SYSTEM OF FRANCE  
33;103;198 929 071 005;75005;71 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;2.1;4.6;SARL PHILIPS DAMON  (RESTAURANT);48.846314, 2.340512;9.66;RESTAURANT;SARL PHILIPS DAMON  
34;104;198 929 083 005;75005;83 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;1.7;4.1;SARL SARL RIAZ  (RESTAURATION RAPIDE - SNACK);48.845503, 2.340063;6.97;RESTAURATION RAPIDE - SNACK;SARL SARL RIAZ  
35;105;198 929 101 002;75005;101 BOUVERAD SAINT MICHEL;A;TERRASSE OUVERTE;1.0;2.0;SARL MKD FOODING  (RESTAURANT);48.844296, 2.339248;2.0;RESTAURANT;SARL MKD FOODING  
36;111;198 929 147 003;75005;147 BOULEVARD SAINT MICHEL;A;TERRASSE OUVERTE;2.2;4.6;SARL LAZA  (RESTAURATION RAPIDE - SNACK);48.840949, 2.337565;10.12;RESTAURATION RAPIDE - SNACK;SARL LAZA  
37;112;199 366 032 002;75005;2-4 PLACE LUCIEN HERR;B;CONTRE TERRASSE;0.6;7.4;SARL LENA & MIMILE  (BAR RESTAURANT);48.841996, 2.348021;4.44;BAR RESTAURANT;SARL LENA & MIMILE  
38;113;199 366 032 002;75005;2-4 PLACE LUCIEN HERR;B;CONTRE TERRASSE;0.6;3.8;SARL LENA & MIMILE  (BAR RESTAURANT);48.841996, 2.348021;2.28;BAR RESTAURANT;SARL LENA & MIMILE  
39;114;199 366 032 002;75005;2-4 PLACE LUCIEN HERR;B;TERRASSE OUVERTE;1.0;12.5;SARL LENA & MIMILE  (BAR RESTAURANT);48.841996, 2.348021;12.5;BAR RESTAURANT;SARL LENA & MIMILE  
40;115;201 233 010 003;75005;10 RUE BOUTEBRIE;A;TERRASSE OUVERTE;0.6;5.0;SAS TIM FAI  (RESTAURANT);48.851436, 2.344568;3.0;RESTAURANT;SAS TIM FAI  
41;120;201 544 032 004;75005;32 RUE DES CARMES;A;TERRASSE OUVERTE;1.9;3.7;SARL MSL IL GOLOSONE (RESTAURATION RAPIDE - SNACK);48.848274, 2.34701;7.03;RESTAURATION RAPIDE - SNACK;SARL MSL IL GOLOSONE 
42;121;201 544 032 005;75005;32 RUE DES CARMES;A;TERRASSE OUVERTE;2.75;8.0;SARL ZIG ZAG  (RESTAURANT);48.848274, 2.34701;22.0;RESTAURANT;SARL ZIG ZAG  
43;122;202 483 009 002;75005;6 RUE TOULLIER;B;TERRASSE OUVERTE;0.9;6.3;SARL ANDREANI RESTAURANT  (RESTAURANT);48.847272, 2.34294;5.67;RESTAURANT;SARL ANDREANI RESTAURANT  
44;123;203 085 007 002;75005;7 RUE DU SOMMERARD;A;TERRASSE OUVERTE;0.6;5.0;SARL SUMO  (RESTAURANT);48.849791, 2.34704;3.0;RESTAURANT;SARL SUMO  
45;125;203 129 027 003;75005;27 RUE DES ECOLES;A;TERRASSE FERMEE;1.35;4.06;MME ESPOSITO  (RESTAURANT);48.848585, 2.348211;5.481;RESTAURANT;MME ESPOSITO  
46;129;203 860 012 002;75005;12 RUE FREDERIC SAUTON;A;TERRASSE OUVERTE;1.2;4.5;SARL PHONETHIP  (RESTAURANT);48.850784, 2.3489;5.4;RESTAURANT;SARL PHONETHIP  
47;131;205 189 010 002;75005;1 RUE DU FOUARRE;B;TERRASSE OUVERTE;1.0;8.6;SARL ZENYAMA  (RESTAURANT);48.851641, 2.347358;8.6;RESTAURANT;SARL ZENYAMA  
48;139;206 374 047 002;75005;47 RUE DE LA MONTAGNE SAINTE GENEVIEVE;A;TERRASSE OUVERTE;1.3;1.4;MME LE DINH  (RESTAURANT);48.847009, 2.348108;1.82;RESTAURANT;MME LE DINH  
49;140;206 981 024 002;75005;24 RUE DE LA PARCHEMINERIE;A;TERRASSE OUVERTE;2.2;5.55;SARL VAKILI SARL HEUREUX COMME ALEXANDRE (RESTAURANT);48.851822, 2.344668;12.21;RESTAURANT;SARL VAKILI SARL HEUREUX COMME ALEXANDRE 
50;144;207 297 006 002;75005;6 RUE DU PETIT PONT;A;TERRASSE OUVERTE;1.08;6.6;SARL AARAPANA  (RESTAURANT);48.852408, 2.34628;7.128;RESTAURANT;SARL AARAPANA  
51;145;207 297 013 002;75005;13 RUE DU PETIT PONT;A;TERRASSE OUVERTE;0.6;5.5;SARL LES VOULTES DE LUTECE  (RESTAURANT);48.852393, 2.346561;3.3;RESTAURANT;SARL LES VOULTES DE LUTECE  
52;147;208 657 012 002;75005;Pan coupé 12 RUE SOUFFLOT / 162 RUE SAINT JACQUES;A;TERRASSE OUVERTE;1.0;1.0;SAS F C L C  (RESTAURATION RAPIDE - SNACK);48.846885, 2.34333;1.0;RESTAURATION RAPIDE - SNACK;SAS F C L C  
53;153;208 845 072 002;75005;72 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.2;7.3;M AKBARALY  (RESTAURANT);48.850612, 2.346995;16.06;RESTAURANT;M AKBARALY  
54;154;208 845 072 002;75005;72 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;0.7;7.3;M AKBARALY  (RESTAURANT);48.850612, 2.346995;5.11;RESTAURANT;M AKBARALY  
55;158;208 845 088 005;75005;88 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;2.6;6.2;SARL MERE ET FILLE  (BAR RESTAURANT);48.851097, 2.345006;16.12;BAR RESTAURANT;SARL MERE ET FILLE  
56;159;208 845 092 002;75005;Pan coupé 92 BOULEVARD SAINT GERMAIN /  5 RUE BOUTEBRIE;A;TERRASSE OUVERTE;1.5;3.5;SARL SAINT GERMAIN RESTAURATION  (RESTAURANT);48.849261, 2.355203;5.25;RESTAURANT;SARL SAINT GERMAIN RESTAURATION  
57;160;208 845 092 002;75005;5 RUE BOUTEBRIE;B;TERRASSE OUVERTE;0.6;5.4;SARL SAINT GERMAIN RESTAURATION  (RESTAURANT);48.851478, 2.344642;3.24;RESTAURANT;SARL SAINT GERMAIN RESTAURATION  
58;165;208 845 098 002;75005;98 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.47;12.75;SA MAC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.851389, 2.343806;31.4925;RESTAURATION RAPIDE - SNACK;SA MAC DONALD S FRANCE  
59;166;208 871 033 003;75005;Pan coupé 33 RUE SAINT JACQUES / 10 RUE DANTE;A;COMMERCE ACCESSOIRE;1.2;2.5;SA BAR A HUITRES ST GERMAIN  (RESTAURANT);48.851131, 2.345867;3.0;RESTAURANT;SA BAR A HUITRES ST GERMAIN  
60;167;208 871 033 003;75005;10 RUE DANTE;B;TERRASSE FERMEE;0.98;8.1;SA BAR A HUITRES ST GERMAIN  (RESTAURANT);48.851006, 2.345923;7.938;RESTAURANT;SA BAR A HUITRES ST GERMAIN  
61;172;208 929 063 002;75005;26 RUE SOUFFLOT;B;TERRASSE FERMEE;3.05;11.78;SA FRANCE QUICK  (RESTAURANT);48.847351, 2.340973;35.929;RESTAURANT;SA FRANCE QUICK  
62;177;208 934 001 002;75005;Pan coupé 1 QUAI SAINT MICHEL / 2 PLACE DU PETIT PONT;A;TERRASSE OUVERTE;1.0;1.65;M DEBEURE  (RESTAURANT);48.853055, 2.346536;1.65;RESTAURANT;M DEBEURE  
63;180;208 934 019 004;75005;19 QUAI SAINT MICHEL;A;TERRASSE OUVERTE;0.75;6.4;MME SCHINIOTAKIS  (RESTAURANT);48.853348, 2.345452;4.8;RESTAURANT;MME SCHINIOTAKIS  
64;189;212 543 001 002;75006;1 RUE DANTON;A;TERRASSE FERMEE;0.8;2.05;SARL GRAINE SALEM ET FRERE  (RESTAURANT);48.852835, 2.342773;1.64;RESTAURANT;SARL GRAINE SALEM ET FRERE  
65;191;214 245 047 006;75006;47 QUAI DES GRANDS AUGUSTINS;A;ETALAGE;0.5;5.0;M FURLAND  (RESTAURANT);48.85499, 2.341764;2.5;RESTAURANT;M FURLAND  
66;192;214 440 001 005;75006;25 RUE FRANCISQUE GAY;B;TERRASSE OUVERTE;1.2;2.5;SARL YALLI PETIT HONG KONG (RESTAURATION RAPIDE - SNACK);48.85284, 2.343392;3.0;RESTAURATION RAPIDE - SNACK;SARL YALLI PETIT HONG KONG 
67;194;216 149 003 002;75006;3 RUE ANDRE MAZET;A;TERRASSE OUVERTE;0.7;5.5;SARL I-GREC  (RESTAURANT);48.8541, 2.33908;3.85;RESTAURANT;SARL I-GREC  
68;198;218 761 028 002;75006;16 RUE GIT LE COEUR;B;TERRASSE OUVERTE;0.6;8.0;SARL CORCORAN S IRISH PUB  (RESTAURANT);48.8538, 2.342731;4.8;RESTAURANT;SARL CORCORAN S IRISH PUB  
69;200;600 626 067 002;75015;2 RUE DE LA MONTAGNE D AULAS;A;TERRASSE OUVERTE;0.8;15.5;SARL LUPAU BISTROT DU PARC (RESTAURANT);48.840308, 2.278826;12.4;RESTAURANT;SARL LUPAU BISTROT DU PARC 
70;202;600 626 090 003;75015;Pan coupé 90 RUE BALARD / 229 RUE SAINT CHARLES;A;CONTRE TERRASSE;3.2;3.4;SARL SJ15 L'AUTHENTIK (RESTAURANT);;10.88;RESTAURANT;SARL SJ15 L'AUTHENTIK 
71;203;600 626 090 003;75015;Pan coupé 90 RUE BALARD / 229 RUE SAINT CHARLES;A;TERRASSE FERMEE;1.2;9.25;SARL SJ15 L'AUTHENTIK (RESTAURANT);;11.1;RESTAURANT;SARL SJ15 L'AUTHENTIK 
72;207;601 604 022 004;75015;22 RUE CAUCHY;A;TERRASSE OUVERTE;0.6;3.5;EURL MADE IN EMILIE MADE IN EMILIE (RESTAURATION RAPIDE - SNACK);48.842743, 2.276519;2.1;RESTAURATION RAPIDE - SNACK;EURL MADE IN EMILIE MADE IN EMILIE 
73;209;602 301 025 002;75015;25 RUE DE LA CONVENTION;A;TERRASSE OUVERTE;1.4;11.0;SARL OCL CARPE DIEM (BAR RESTAURANT);48.844944, 2.279714;15.4;BAR RESTAURANT;SARL OCL CARPE DIEM 
74;210;602 301 025 002;75015;16 RUE DU CAPITAINE MENARD;B;TERRASSE OUVERTE;0.6;7.5;SARL OCL CARPE DIEM (BAR RESTAURANT);48.845276, 2.280346;4.5;BAR RESTAURANT;SARL OCL CARPE DIEM 
75;211;602 301 077 002;75015;77 RUE DE LA CONVENTION;A;TERRASSE FERMEE;1.4;9.2;SARL YAMAGOYA  (RESTAURANT);48.842536, 2.285015;12.88;RESTAURANT;SARL YAMAGOYA  
76;215;603 061 019 002;75015;Pan coupé 19 RUE DURANTON / 14 RUE PLELO;A;ETALAGE;0.25;0.4;SARL MARTINEZ EMILE MARTINEZ (RESTAURANT);48.840076, 2.286352;0.1;RESTAURANT;SARL MARTINEZ EMILE MARTINEZ 
77;217;603 293 049 002;75015;14 RUE DES QUATRE FRERES PEIGNOT;B;TERRASSE OUVERTE;1.0;5.0;SARL PERSEPOLIS  (RESTAURANT);48.846783, 2.283316;5.0;RESTAURANT;SARL PERSEPOLIS  
78;218;603 423 001 003;75015;1 PLACE ETIENNE PERNET;A;CONTRE TERRASSE;1.3;3.0;SA SOCIETE DES RESTAURANTS PINTO CHARLIE BIRDY (RESTAURANT);48.843447, 2.293123;3.9;RESTAURANT;SA SOCIETE DES RESTAURANTS PINTO CHARLIE BIRDY 
79;220;603 423 024 003;75015;24 PLACE ETIENNE PERNET;A;TERRASSE OUVERTE;2.3;4.4;M JEAN  (BAR RESTAURANT);48.842851, 2.291835;10.12;BAR RESTAURANT;M JEAN  
80;223;603 572 081 002;75015;Pan coupé 81 AVENUE FELIX FAURE / 2 RUE JEAN MADRIDOR;A;TERRASSE OUVERTE;1.0;5.0;SARL LINE PIZZERIA ROMANELLA  (RESTAURANT);48.842695, 2.291511;5.0;RESTAURANT;SARL LINE PIZZERIA ROMANELLA  
81;229;603 574 001 003;75015;1 RUE FELIX FAURE;A;TERRASSE OUVERTE;0.95;5.2;M SIMAO  (BAR RESTAURANT);48.839493, 2.284457;4.94;BAR RESTAURANT;M SIMAO  
82;230;605 391 294 002;75015;294 RUE LECOURBE;A;TERRASSE OUVERTE;0.6;7.9;M HUYEN LE NOUVEAU DISQUE BLEU (RESTAURANT);48.838078, 2.2872;4.74;RESTAURANT;M HUYEN LE NOUVEAU DISQUE BLEU 
83;231;605 391 326 002;75015;1 VILLA THORETON;B;TERRASSE OUVERTE;0.6;18.2;SARL CHEZ ROBERTO  (RESTAURANT);48.83761, 2.284605;10.92;RESTAURANT;SARL CHEZ ROBERTO  
84;234;607 684 001 004;75015;;A;;0.6;11.75;SARL COQ NOIR  (RESTAURANT);;7.05;RESTAURANT;SARL COQ NOIR  
85;237;608 794 111 004;75015;111 RUE SAINT CHARLES;A;TERRASSE FERMEE;0.64;4.7;SNC LIMOUSIN SAINT CHARLES LE BISTROT DU LIMOUSIN (RESTAURANT);48.845118, 2.284325;3.008;RESTAURANT;SNC LIMOUSIN SAINT CHARLES LE BISTROT DU LIMOUSIN 
86;245;608 794 232 002;75015;232 RUE SAINT CHARLES;A;TERRASSE OUVERTE;1.3;9.3;SARL LE BISTROT D ANDRE C  (RESTAURANT);48.837242, 2.27726;12.09;RESTAURANT;SARL LE BISTROT D ANDRE C  
87;246;610 567 014 002;75016;14 RUE D'AUTEUIL;A;ETALAGE;1.0;3.75;SARL PANINI & CO  (RESTAURATION RAPIDE - SNACK);48.847581, 2.267699;3.75;RESTAURATION RAPIDE - SNACK;SARL PANINI & CO  
88;249;610 567 083 002;75016;Pan coupé 135 BOULEVARD EXELMANS / 83 RUE D'AUTEUIL;C;TERRASSE FERMEE;3.15;5.81;SNC SNC LE MURAT  (RESTAURANT);48.847619, 2.259122;18.3015;RESTAURANT;SNC SNC LE MURAT  
89;255;612 104 003 002;75016;2 RUE GROS;C;TERRASSE FERMEE;2.3;27.5;SA TURQUOISE ZEBRA SQUARE (RESTAURANT);48.851326, 2.276231;63.25;RESTAURANT;SA TURQUOISE ZEBRA SQUARE 
90;256;612 583 002 002;75016;2 RUE DAUMIER;A;TERRASSE OUVERTE;0.6;10.0;SARL GOLDEN GATE  (RESTAURANT);48.839276, 2.264644;6.0;RESTAURANT;SARL GOLDEN GATE  
91;259;613 488 001 002;75016;1 BOULEVARD EXELMANS;A;COMMERCE ACCESSOIRE;1.4;1.7;SARL HIBISCUS  (RESTAURANT);48.839652, 2.266903;2.38;RESTAURANT;SARL HIBISCUS  
92;260;613 488 001 002;75016;1 BOULEVARD EXELMANS;A;CONTRE TERRASSE;1.8;5.0;SARL HIBISCUS  (RESTAURANT);48.839652, 2.266903;9.0;RESTAURANT;SARL HIBISCUS  
93;261;613 488 020 004;75016;20 BOULEVARD EXELMANS;A;TERRASSE FERMEE;2.2;6.1;SARL KYOTO  (RESTAURANT);48.840819, 2.265821;13.42;RESTAURANT;SARL KYOTO  
94;268;613 488 131 002;75016;131 BOULEVARD EXELMANS;A;TERRASSE OUVERTE;2.5;14.0;SA ESPINASSE LES DEUX STATIONS SAS (RESTAURANT);48.847323, 2.258917;35.0;RESTAURANT;SA ESPINASSE LES DEUX STATIONS SAS 
95;270;614 663 005 004;75016;5 RUE ISABEY;A;TERRASSE OUVERTE;0.6;7.2;SARL MARGELLINA  (RESTAURANT);48.848456, 2.263477;4.32;RESTAURANT;SARL MARGELLINA  
96;276;615 707 182 002;75016;189 BOULEVARD MURAT;B;TERRASSE OUVERTE;1.7;10.3;SARL ANDROARRY  (RESTAURANT);48.838977, 2.26588;17.51;RESTAURANT;SARL ANDROARRY  
97;278;616 247 080 003;75016;80 RUE MICHEL ANGE;A;TERRASSE FERMEE;1.6;10.25;SARL MING DINASTY  (RESTAURANT);48.841767, 2.258901;16.4;RESTAURANT;SARL MING DINASTY  
98;280;616 247 120 002;75016;11 BOULEVARD MURAT;B;TERRASSE FERMEE;1.6;21.0;SA CAFE RESTAURANT AUX 3 OBUS  (BAR RESTAURANT);48.846838, 2.258556;33.6;BAR RESTAURANT;SA CAFE RESTAURANT AUX 3 OBUS  
99;285;616 566 081 002;75016;81 AVENUE MOZART;A;ETALAGE;1.0;7.4;SARL OTODOKE OTODOKE JUJIYA SURFING NANAYA (RESTAURATION RAPIDE - SNACK);48.852821, 2.268513;7.4;RESTAURATION RAPIDE - SNACK;SARL OTODOKE OTODOKE JUJIYA SURFING NANAYA 
100;289;616 566 109 003;75016;Pan coupé 109 AVENUE MOZART / 72 RUE DE LA SOURCE;A;PLANCHER MOBILE;4.0;3.9;SARL MOZART 109  (RESTAURANT);48.851099, 2.267572;15.6;RESTAURANT;SARL MOZART 109  
101;294;617 680 005 002;75016;5 PLACE DE LA PORTE DE SAINT CLOUD;A;TERRASSE FERMEE;2.5;9.54;SARL LE CARDINAL  (RESTAURANT);48.837268, 2.25715;23.85;RESTAURANT;SARL LE CARDINAL  
102;297;619 231 003 003;75016;3 AVENUE THEOPHILE GAUTIER;A;TERRASSE FERMEE;1.13;6.7;EURL LANUME  (RESTAURANT);48.851012, 2.27518;7.571;RESTAURANT;EURL LANUME  
103;298;619 231 031 003;75016;31 AVENUE THEOPHILE GAUTIER;A;TERRASSE OUVERTE;2.0;1.0;SARL BISTROT 31  (RESTAURANT);48.849951, 2.272553;2.0;RESTAURANT;SARL BISTROT 31  
104;301;79 299 062 002;75002;62 RUE TIQUETONNE;A;TERRASSE OUVERTE;1.4;2.4;SAS L AVIATEUR  (BAR RESTAURANT);48.864831, 2.345883;3.36;BAR RESTAURANT;SAS L AVIATEUR  
105;304;81 103 031 003;75002;31 BOULEVARD DE BONNE NOUVELLE;A;TERRASSE FERMEE;3.0;8.5;SARL BONNE NOUVELLE RESTAURATION  (RESTAURANT);48.870322, 2.348858;25.5;RESTAURANT;SARL BONNE NOUVELLE RESTAURATION  
106;307;83 418 008 003;75002;8 RUE ETIENNE MARCEL;A;TERRASSE OUVERTE;1.4;7.4;SA OREM  (BAR RESTAURANT);48.863687, 2.350203;10.36;BAR RESTAURANT;SA OREM  
107;308;83 418 010 003;75002;10 RUE ETIENNE MARCEL;A;TERRASSE FERMEE;1.29;7.5;SARL NEW SHANGHAI  (RESTAURANT);48.863782, 2.34959;9.675;RESTAURANT;SARL NEW SHANGHAI  
108;312;87 300 014 005;75002;14 RUE DES PETITS CARREAUX;A;TERRASSE OUVERTE;1.2;3.1;SARL  DIONYSOS  (RESTAURANT);48.866889, 2.347347;3.72;RESTAURANT;SARL  DIONYSOS  
109;314;88 073 061 006;75002;61 RUE REAUMUR;A;TERRASSE FERMEE;1.15;14.0;SARL CAFE LAZAR  (RESTAURANT);48.866518, 2.350991;16.1;RESTAURANT;SARL CAFE LAZAR  
110;315;88 073 061 006;75002;61 RUE REAUMUR;A;TERRASSE OUVERTE;2.5;12.6;SARL CAFE LAZAR  (RESTAURANT);48.866518, 2.350991;31.5;RESTAURANT;SARL CAFE LAZAR  
111;316;88 073 081 004;75002;81 RUE DE REAUMUR;A;TERRASSE FERMEE;1.2;9.65;SAS LOY S CAFE  (RESTAURANT);48.866906, 2.348439;11.58;RESTAURANT;SAS LOY S CAFE  
112;322;88 806 013 002;75002;13 BOULEVARD SAINT DENIS;A;ETALAGE;2.1;2.6;SARL HAUT DE FOUCAU  (RESTAURATION RAPIDE - SNACK);48.869269, 2.353703;5.46;RESTAURATION RAPIDE - SNACK;SARL HAUT DE FOUCAU  
113;325;88 809 116 005;75002;23 RUE DE TURBIGO;B;TERRASSE OUVERTE;0.9;10.3;SA THE PARIS REAL ALE BREWERY  (BAR RESTAURANT);48.864132, 2.350139;9.27;BAR RESTAURANT;SA THE PARIS REAL ALE BREWERY  
114;326;88 809 189 002;75002;189 RUE SAINT DENIS;A;TERRASSE OUVERTE;0.7;3.6;M OUANSA  (RESTAURANT);48.866126, 2.350753;2.52;RESTAURANT;M OUANSA  
